600728.sh	S*ST新太
600729.sh	重庆百货
600730.sh	中国高科
600731.sh	湖南海利
600732.sh	上海新梅
600733.sh	S前锋
600734.sh	实达集团
600735.sh	新华锦
600736.sh	苏州高新
600737.sh	中粮屯河
600738.sh	兰州民百
600739.sh	辽宁成大
600740.sh	山西焦化
600741.sh	华域汽车
600742.sh	一汽富维
600743.sh	华远地产
600744.sh	华银电力
600745.sh	中茵股份
600746.sh	江苏索普
600747.sh	大连控股
600748.sh	上实发展
600749.sh	西藏旅游
600750.sh	江中药业
600751.sh	S*ST天海
600753.sh	东方银星
600754.sh	锦江股份
600755.sh	厦门国贸
600756.sh	浪潮软件
600757.sh	ST源发
600758.sh	红阳能源
600759.sh	正和股份
600760.sh	东安黑豹
600761.sh	安徽合力
600763.sh	通策医疗
600764.sh	中电广通
600765.sh	力源液压
600766.sh	园城股份
600767.sh	运盛实业
600768.sh	宁波富邦
600769.sh	祥龙电业
600770.sh	综艺股份
600771.sh	ST东盛
600773.sh	*ST雅砻
600774.sh	汉商集团
600775.sh	南京熊猫
600776.sh	东方通信
600777.sh	新潮实业
600778.sh	友好集团
600779.sh	水井坊
600780.sh	通宝能源
600781.sh	上海辅仁
600782.sh	新钢股份
600783.sh	鲁信高新
600784.sh	鲁银投资
600785.sh	新华百货
600786.sh	东方锅炉
600787.sh	中储股份
600789.sh	鲁抗医药
600790.sh	轻纺城
600791.sh	京能置业
600792.sh	ST马龙
600793.sh	*ST宜纸
600794.sh	保税科技
600795.sh	国电电力
600796.sh	钱江生化
600797.sh	浙大网新
600798.sh	宁波海运
600800.sh	ST磁卡
600801.sh	华新水泥
600802.sh	福建水泥
600803.sh	威远生化
600804.sh	鹏博士
600805.sh	悦达投资
600806.sh	昆明机床
600807.sh	天业股份
600808.sh	马钢股份
600809.sh	山西汾酒
600810.sh	神马实业
600811.sh	东方集团
600812.sh	华北制药
600814.sh	杭州解百
600815.sh	厦工股份
600816.sh	安信信托
600817.sh	*ST宏盛
600818.sh	中路股份
600819.sh	耀皮玻璃
600820.sh	隧道股份
600821.sh	津劝业
600822.sh	上海物贸
600823.sh	世茂股份
600824.sh	益民商业
600825.sh	新华传媒
600826.sh	兰生股份
