#symbol,announce_date,alloc_stock,alloc_price,total_share,x_date,registration_date,paydate_start,paydate_end,list_date,amount
600171.sh,20030826,2.31,7.27,56476.42,20030801,20030731,20030801,20030814,20030829,347421093.67,
600172.sh,20010228,3.00,12,24400,20010111,20010110,20010111,20010209,20010306,288000000,
600173.sh,20030422,3.00,,23000,,,,,,,
600177.sh,20000715,3.00,15.46,25807.6,20000616,20000615,20000616,20000630,20000720,401519791.96,
600178.sh,20070808,3.00,0,46208,,,,,,0,
600178.sh,20050408,8.00,,46208,,,,,,,
600178.sh,20010920,3.00,9,42250,20010806,20010803,20010806,20010817,20010925,356220000,
600180.sh,20040406,3.00,,25099.01,,,,,,,
600180.sh,20001128,3.00,15.98,19040,20001018,20001017,20001018,20001031,20001201,299759232,
600183.sh,20011208,3.00,,49078.13,,,,,,,
600183.sh,20010728,3.00,,32718.75,,,,,,,
600185.sh,20021026,3.00,,19800,,,,,,,
600187.sh,20001012,3.00,10,20000,20000905,20000904,20000905,20000918,20001017,181500000,
600189.sh,20040609,3.00,,31050,,,,,,,
600189.sh,20001230,3.00,9,28500,20001211,20001208,20001211,20001222,20010104,229500000,
600191.sh,20040601,3.00,,30308.25,,,,,,,
600191.sh,20020928,3.00,,30308.25,,,,,,,
600191.sh,20000930,3.00,15,24000,20000907,20000906,20000907,20000920,20001011,353250000,
600192.sh,20000808,3.00,8,29500,20000705,20000704,20000705,20000718,20000811,204000000,
600195.sh,20020413,3.00,,39000,,,,,,,
600196.sh,20000829,2.50,20,27126,20000728,20000727,20000728,20000810,20000901,450000000,
600198.sh,20000707,3.00,26,31300,20000615,20000614,20000615,20000628,20000712,834246400,
600199.sh,20010112,1.76,12,32300,20001215,20001214,20001215,20001228,20010117,280800000,
600200.sh,20041201,3.00,,41580,,,,,,,
600200.sh,20011017,1.54,16,26052,20010907,20010906,20010907,20010920,20011022,266880000,
600201.sh,20010213,3.00,17,9700.25,20001218,20001215,20001218,20001229,20010216,207582750,
600202.sh,20090725,3.00,0,31945.06,,,,,,0,
600203.sh,20010418,3.00,,25640,,,,,,,
600210.sh,20010913,3.00,16.5,32340,20010820,20010817,20010820,20010831,20010919,477840000,
600212.sh,20020523,3.00,11,21902.4,20020423,20020422,20020423,20020513,20020527,386865600,
600215.sh,20030620,3.00,8,30600,20030603,20030602,20030603,20030616,20030625,413740800,
600217.sh,20040729,3.00,,41300,,,,,,,
600218.sh,20010921,3.00,9,26000,20010814,20010813,20010814,20010827,20010926,210600000,
600219.sh,20010509,3.00,,25700,,,,,,,
600221.sh,20020918,3.00,,73025.28,,,,,,,
600222.sh,20030410,3.00,,13615,,,,,,,
600226.sh,20020910,2.08,17.7,25349.41,20020819,20020816,20020819,20020830,20020910,298634771.7,
600232.sh,20020924,3.00,,21885.19,,,,,,,
600237.sh,20040727,3.00,,20000,,,,,,,
600238.sh,20030325,3.00,,16600,,,,,,,
600239.sh,20011122,1.67,20,9101.88,20011105,20011102,20011105,20011116,20011126,150048000,
600247.sh,20050531,3.00,,23760,,,,,,,
600253.sh,20030423,3.00,,42000,,,,,,,
600256.sh,20020723,3.00,,60143.14,,,,,,,
600257.sh,20040525,3.00,,7300,,,,,,,
600258.sh,20041223,3.00,,23140,,,,,,,
600258.sh,20030924,3.00,,23140,,,,,,,
600261.sh,20040709,3.00,,12316,,,,,,,
600265.sh,20030919,3.00,,10500,,,,,,,
600266.sh,20040629,3.00,,60000,,,,,,,
600266.sh,20000617,3.00,,,,,,,,,
600269.sh,20050426,3.00,,77844.5,,,,,,,
600269.sh,20030108,3.00,10.2,35300,20021212,20021211,20021212,20021225,20030110,369469428.6,
600277.sh,20020820,3.00,,15800,,,,,,,
600280.sh,20041027,3.00,5.87,12126.09,20040928,20040927,20040928,20041018,20041028,130789323.25,
600285.sh,20071116,3.00,0,20072,,,,,,0,
600289.sh,20041201,3.00,,10589,,,,,,,
600291.sh,20030930,3.00,,16000,,,,,,,
600299.sh,20050311,3.00,,24000,,,,,,,
600299.sh,20040616,3.00,,24000,,,,,,,
600301.sh,20050907,3.00,,18514.81,,,,,,,
600302.sh,20050129,3.00,5.26,31900.98,20050105,20050104,20050105,20050118,20050201,142020000,
600303.sh,20030304,3.00,,16200,,,,,,,
600306.sh,20030521,3.00,,13702.99,,,,,,,
600308.sh,20030422,3.00,,23096.8,,,,,,,
600325.sh,20080523,3.00,13.98,63191.51,20080520,20080509,20080512,20080516,20080527,2588124977.16,
600328.sh,20030403,3.00,,17265.29,,,,,,,
600337.sh,20030512,3.00,,9208,,,,,,,
600356.sh,20040317,3.00,,14000,,,,,,,
600359.sh,20050701,3.00,,32100,,,,,,,
600359.sh,20011101,3.00,11.5,29400,20010921,20010920,20010921,20011011,20011105,310500000,
600381.sh,20040326,3.00,,11000,,,,,,,
600396.sh,20071204,3.00,0,34060,,,,,,0,
600398.sh,20040116,2.31,6.79,21370.88,20031229,20031226,20031229,20040112,20040130,155830500,
600408.sh,20080603,3.00,0,47100,,,,,,0,
600416.sh,20050318,3.00,,19500,,,,,,,
600423.sh,20080529,3.00,0,26623.17,,,,,,0,
600425.sh,20090731,3.00,0,36889.13,,,,,,0,
600486.sh,20050510,3.00,,10000,,,,,,,
600497.sh,20090421,3.00,0,78000,,,,,,0,
600509.sh,20071219,3.00,15,25362.75,20071213,20071204,20071205,20071211,20071220,1113311895,
600509.sh,20041019,3.00,,25362.75,,,,,,,
600525.sh,20090404,3.00,0,16658.64,,,,,,0,
600525.sh,20071211,3.00,0,12814.34,,,,,,0,
600540.sh,20080318,3.00,5.84,18000,20080307,20080227,20080228,20080305,20080320,308659604.48,
600550.sh,20090728,1.80,0,116800,,,,,,0,
600552.sh,20050511,3.00,,11700,,,,,,,
600584.sh,20050405,3.00,,29259.2,,,,,,,
600589.sh,20050628,3.00,,19200,,,,,,,
600590.sh,20090727,3.00,7.56,29449.56,20090807,20090729,20090730,20090805,,0,
600595.sh,20090325,3.00,0,65725.56,,,,,,0,
600601.sh,20090418,3.00,0,172648.67,,,,,,0,
600601.sh,20070118,3.00,2.66,97044.7,20070104,20061221,20061222,20061228,20070119,720371084.02,
600601.sh,20050421,4.00,,97044.7,,,,,,,
600601.sh,20030729,3.00,5.58,37324.8,20030709,20030708,20030709,20030722,20030731,624817152,
600601.sh,19991112,2.00,9,15552,19990928,19990927,19990928,19991018,19991118,279936000,
600601.sh,19940106,10.00,3.5,3000,19931220,19931217,19940105,19940114,19940117,105000000,
600601.sh,19920528,10.00,6,1000,19920604,19920603,,,,60000000,
600602.sh,20021029,2.73,,92722.77,,,,,,,
600602.sh,19930320,7.00,3.6,30000,19930329,19930326,19930329,19930412,,128746800,
600603.sh,19990304,3.00,,,,,,,,,
600603.sh,19940625,3.00,4.3,4000,19940704,19940701,19940704,19940715,19940718,51600000,
600603.sh,19930327,7.00,4.75,2000,19930405,19930402,19930405,19930415,,66500000,
600604.sh,19940709,3.00,,,,,,,,,
600605.sh,19930508,10.00,1.8,16516,19930517,19930514,19930517,19930526,19950531,18000000,
600606.sh,19930612,7.00,2.5,7063.18,19930621,19930618,19930621,19930630,19930707,20543390,
600607.sh,19980429,2.50,5,12592.56,19980504,19980430,19980504,19980515,19980603,142080075,
600607.sh,19950929,3.00,3.4,9635.54,19950818,19950817,19950818,19950901,19950904,29867169.6,
600608.sh,20031011,3.00,10.26,15126.22,20030915,20030912,20030915,20030926,20031015,298692310.86,
600608.sh,20000218,2.50,3.5,11656.94,19991227,19991224,19991227,20000111,20000222,73295883.5,
600608.sh,19950905,2.50,2.5,6143.32,19950911,19950908,19950911,19950922,19950925,39926085,
600608.sh,19930515,9.00,2.75,3610.6,19930524,19930521,19930524,19930602,19930607,31563675,
600609.sh,20001103,3.00,4.79,97181.13,20001030,20001027,20001030,20001110,20001205,578899282,
600609.sh,19940514,3.00,2,0,19940523,19940520,19940523,19940603,19940606,120000000,
600609.sh,19921218,7.00,3.5,10000,19921228,19921225,19930201,19930212,,245000000,
600611.sh,19980527,3.00,,,,,,,,,
600611.sh,19960918,3.00,4.8,16378.9,19961004,19961003,19961004,19961018,19961118,235856160,
600611.sh,19950125,3.00,4.8,12599,19950116,19950113,19950116,19950127,19950210,181425600,
600611.sh,19930605,9.00,4.15,8590,19930614,19930611,19930614,19930623,19930630,37350000,
600612.sh,19991012,2.31,,,,,,,,,
600612.sh,19970228,2.72,2.49,15226.14,19970314,19970313,19970314,19970327,19970515,103123579.08,
600612.sh,19931230,8.00,3.3,6400,19940110,19940107,19940110,19940118,19940124,0,
600615.sh,19980602,3.00,6.5,12935.69,19981111,19981110,19981111,19981124,19981209,136886984,
600615.sh,19961122,3.00,3.3,8442.64,19961209,19961206,19961209,19961220,19970303,77124181.2,
600615.sh,19930522,7.00,4.2,5672.58,19930531,19930528,19930531,19930609,19930614,33419442,
600616.sh,20000922,3.00,7.5,10892.11,20000712,20000711,20000712,20000725,20000927,135069525,
600616.sh,19930703,6.00,4,2838.65,19930712,19930709,19930712,19930716,19930723,31357600,
